patch_name,correctness,prediction
Lang_33_repairllama-ir4_patch_6.diff,overfitting,correct
Lang_51_repairllama-ir4_patch_3.diff,overfitting,correct
Closure_86_repairllama-ir4_patch_6.diff,overfitting,correct
Math_95_repairllama-ir4_patch_3.diff,overfitting,correct
Math_53_repairllama-ir4_patch_7.diff,overfitting,correct
Math_50_repairllama-ir4_patch_6.diff,overfitting,correct
Chart_13_repairllama-ir4_patch_1.diff,overfitting,correct
Lang_45_repairllama-ir4_patch_1.diff,overfitting,overfitting
Lang_59_repairllama-ir4_patch_9.diff,overfitting,correct
Chart_26_repairllama-ir4_patch_8.diff,overfitting,correct
Closure_86_repairllama-ir4_patch_7.diff,overfitting,correct
Math_11_repairllama-ir4_patch_6.diff,overfitting,correct
Chart_7_repairllama-ir4_patch_2.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_7.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_9.diff,overfitting,correct
Math_11_repairllama-ir4_patch_5.diff,overfitting,correct
Math_30_repairllama-ir4_patch_3.diff,overfitting,correct
Math_28_repairllama-ir4_patch_2.diff,overfitting,overfitting
Lang_59_repairllama-ir4_patch_6.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_4.diff,overfitting,correct
Closure_86_repairllama-ir4_patch_8.diff,overfitting,correct
Closure_10_repairllama-ir4_patch_8.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_5.diff,overfitting,correct
Time_7_repairllama-ir4_patch_9.diff,overfitting,correct
Math_11_repairllama-ir4_patch_9.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_8.diff,overfitting,correct
Math_101_repairllama-ir4_patch_4.diff,overfitting,correct
Closure_86_repairllama-ir4_patch_4.diff,overfitting,correct
Closure_86_repairllama-ir4_patch_5.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_9.diff,overfitting,correct
Chart_13_repairllama-ir4_patch_3.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_4.diff,overfitting,correct
Math_50_repairllama-ir4_patch_5.diff,overfitting,correct
Math_57_repairllama-ir4_patch_1.diff,overfitting,correct
Math_59_repairllama-ir4_patch_1.diff,overfitting,correct
Closure_86_repairllama-ir4_patch_9.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_5.diff,overfitting,correct
Lang_51_repairllama-ir4_patch_0.diff,overfitting,correct
Closure_73_repairllama-ir4_patch_3.diff,overfitting,correct
Math_34_repairllama-ir4_patch_0.diff,overfitting,correct
Math_95_repairllama-ir4_patch_7.diff,overfitting,correct
Math_80_repairllama-ir4_patch_7.diff,overfitting,overfitting
Math_101_repairllama-ir4_patch_2.diff,overfitting,correct
Lang_45_repairllama-ir4_patch_8.diff,overfitting,overfitting
Chart_13_repairllama-ir4_patch_8.diff,overfitting,correct
Chart_11_repairllama-ir4_patch_6.diff,overfitting,correct
Math_30_repairllama-ir4_patch_5.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_2.diff,overfitting,correct
Math_59_repairllama-ir4_patch_7.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_3.diff,overfitting,correct
Math_30_repairllama-ir4_patch_4.diff,overfitting,correct
Lang_45_repairllama-ir4_patch_9.diff,overfitting,overfitting
Closure_73_repairllama-ir4_patch_5.diff,overfitting,correct
Math_95_repairllama-ir4_patch_6.diff,overfitting,correct
Mockito_38_repairllama-ir4_patch_8.diff,overfitting,overfitting
Chart_13_repairllama-ir4_patch_5.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_2.diff,overfitting,correct
Math_34_repairllama-ir4_patch_1.diff,overfitting,correct
